item,variant,seed,paths,cached,recomputed,difference_KRW,q_maxdiff,n_div,n_div_cached,curve_maxdiff,par_reprice_max_bp,seconds
KR6523318519,A,0,40000,0.9862016336876899,0.987648092827946,14.464591402560956,6.832955937174923e-10,24,24.0,1.1796119636642288e-16,1.0408340855860843e-12,1.6403296729986323
KR6523318519,B,0,40000,0.951412683333084,0.9533429810717702,19.302977386861375,6.832955937174923e-10,24,24.0,1.1796119636642288e-16,1.0408340855860843e-12,1.521448892992339
KR6573349653,A,5341,40000,0.9908801286768169,0.9907554493039846,-1.2467937283222597,9.078018579911085e-10,30,30.0,1.5612511283791264e-16,1.1102230246251565e-12,1.609801211001468
KR6573349653,B,5341,40000,0.9812835171308368,0.9814963580742478,2.128409434110079,9.078018579911085e-10,30,30.0,1.5612511283791264e-16,1.1102230246251565e-12,1.5665967690001708
KR65033AR778,A,10683,40000,1.0243320866003633,1.024479541055113,1.4745445474972918,4.4288493358801695e-10,21,21.0,1.942890293094024e-16,1.8041124150158794e-12,1.5978006679943064
KR65033AR778,B,10683,40000,1.028024878705293,1.0277226614251733,-3.0221728011969873,4.4288493358801695e-10,21,21.0,1.942890293094024e-16,1.8041124150158794e-12,1.5434774290042697
KR65333D0866,A,16025,40000,0.9769075416423381,0.977409373935312,5.018322929739583,7.994698236757358e-10,33,33.0,1.5959455978986625e-16,1.457167719820518e-12,1.549827858005301
KR65333D0866,B,16025,40000,0.9683320954114198,0.968730022650212,3.9792723879217284,7.994698236757358e-10,33,33.0,1.5959455978986625e-16,1.457167719820518e-12,1.5723580900084926
KR6613357948,A,21366,40000,1.0033424249447882,1.0038399748161435,4.975498713553073,7.082852186701682e-10,27,27.0,1.1449174941446927e-16,1.4224732503009818e-12,1.545650686006411
KR6613357948,B,21366,40000,0.9989846368636935,0.9988018684353679,-1.8276842832565254,7.082852186701682e-10,27,27.0,1.1449174941446927e-16,1.4224732503009818e-12,1.6278290530026425
KR65433AK9B3,A,26708,40000,1.0049923623390495,1.0049552692949772,-0.37093044072289416,4.0262078046526817e-10,24,24.0,7.45931094670027e-17,1.0928757898653885e-12,1.9777714380034013
KR65433AK9B3,B,26708,40000,1.0040509363457562,1.0035335695967078,-5.173667490483425,4.0262078046526817e-10,24,24.0,7.45931094670027e-17,1.0928757898653885e-12,1.953755420006928
KR6HH00001Q0,A,32050,40000,0.9713335956621915,0.971672077923268,3.384822610765781,5.327987807890455e-10,27,27.0,7.892991815694472e-17,1.0234868508263162e-12,1.635956995000015
KR6HH00001Q0,B,32050,40000,0.969876698936522,0.9701200404606759,2.433415241539505,5.327987807890455e-10,27,27.0,7.892991815694472e-17,1.0234868508263162e-12,1.5799370080057997
KR6SH0001XD9,A,37392,40000,0.9963496835675091,0.9963133502263576,-0.36333341151495446,2.5570161960031257e-10,30,30.0,7.806255641895632e-17,1.1449174941446927e-12,1.5665434630063828
KR6SH0001XD9,B,37392,40000,0.9894292914144694,0.9893292777296155,-1.0001368485390572,2.5570161960031257e-10,30,30.0,7.806255641895632e-17,1.1449174941446927e-12,1.586384115013061
KR6SS0003LP1,A,42733,40000,0.9982454665550962,0.9976008420232684,-6.446245318277866,6.594401899540081e-10,36,36.0,2.3592239273284576e-16,2.2898349882893854e-12,1.5907311839982867
KR6SS0003LP1,B,42733,40000,0.9918473346924409,0.9916774793833494,-1.6985530909152668,6.594401899540081e-10,36,36.0,2.3592239273284576e-16,2.2898349882893854e-12,1.5613684819982154
KR6HN0003XQ8,A,48075,40000,0.9737566484570503,0.9736145809695125,-1.420674875378669,4.0299780526553697e-10,31,31.0,2.220446049250313e-16,2.0122792321330962e-12,1.5793457149993628
KR6HN0003XQ8,B,48075,40000,0.952445802269876,0.9511103104785085,-13.354917913674935,4.0299780526553697e-10,31,31.0,2.220446049250313e-16,2.0122792321330962e-12,1.6005911440006457
KR6NH00049L2,A,53417,40000,0.9982549453686923,0.9981780599925667,-0.7688537612560165,4.520571833532827e-10,36,36.0,3.608224830031759e-16,3.226585665316861e-12,1.6114573649974773
KR6NH00049L2,B,53417,40000,0.9890608313415199,0.9897611151251942,7.002837836742604,4.520571833532827e-10,36,36.0,3.608224830031759e-16,3.226585665316861e-12,1.6076714619994164
20260422000383_13574,A,58789,40000,0.9735993259669514,0.9714805112382863,-21.188147286651528,3.3235588239866054e-10,36,36.0,2.220446049250313e-16,2.0122792321330962e-12,1.6210164869989967
20260422000383_13574,B,58789,40000,0.9607936499856878,0.9589792094511679,-18.144405345199566,3.3235588239866054e-10,36,36.0,2.220446049250313e-16,2.0122792321330962e-12,1.6034772160055581
