segment,n,gap_A,gap_B,MAPE_A,MAPE_B
"(0.699, 0.884]",9794,-1061.4356715924253,-852.9268139140758,13.275150378403078,11.45946435133256
"(0.884, 0.912]",9794,-781.5406772316153,-616.844875615623,9.450445273249224,8.147940476686468
"(0.912, 0.933]",9792,-657.5135902739028,-528.500809524912,7.610858813644248,6.6634955135826965
"(0.933, 0.953]",9793,-492.61177252234666,-386.5125139336255,5.837416413078993,5.221623980757027
"(0.953, 0.976]",9793,-314.8728593386852,-218.8627489393795,3.854914518172968,3.607867258007778
"(0.976, 1.05]",9794,-48.4106070819524,40.861510476895646,2.1041652203749317,2.420307940804614
