year,n,mean_A,mean_B,MAE_A,MAE_B,MAPE_A,MAPE_B
2015,4135,-456.4620187426842,-201.08681430929246,527.2668317672884,357.5755461075228,5.789979188173927,3.890915068619969
2016,3846,-405.5219506220436,-288.8764081897825,436.0815879881121,352.6454716102837,4.684299853379117,3.7837937285464656
2017,5000,-729.2599609567933,-728.4474650857245,744.9065303752408,745.291323878374,8.092713456820041,8.090113399815317
2018,6657,-509.49369419453075,-374.997078044391,537.9577814664503,438.9119180044753,5.794135633125548,4.720917672026942
2019,8005,-561.9229696084054,-481.8533366733509,576.3006183762681,509.6450456390591,6.214240254536172,5.490003305656143
2020,5160,-114.99205330767288,130.2171558257847,668.8184131593429,741.3904059321453,7.399481689404213,8.169793570152487
2021,7045,-1040.6350567526442,-893.8394031182709,1048.5009783199043,915.0226368423185,12.190394318120962,10.626916879277704
2022,5705,-704.27249639179,-512.0448872836084,725.4116668064204,574.8272690780321,8.179589877044705,6.470327184682101
2023,5432,-737.2289043479116,-671.5703298289661,743.7050241273589,682.5400928402023,8.23582466656093,7.551531795224894
2024,3101,-330.6228084649406,-232.46255063298065,387.0333024384142,359.33396370809237,4.096178895420186,3.791138199630257
2025,3506,-193.06017974427968,-76.7652342872609,276.0489640637606,285.1606840834476,2.8995406473232257,2.9828727579044
2026,1168,-203.55142475907684,20.928743746417926,292.088096444663,315.5375402577581,3.0440480248417825,3.269524617102832
