item,structure,monthly,issue,issue_price_krw,fair_raw_krw,face_krw,group,payment_schedule_source,lag
20170120000130_13789,STEP no-KI,True,2017-02-01,9900.0,9201.5,10000,345925c8c30b8e4c8097,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2
20170217000328_1816,STEP no-KI,False,2017-02-27,10000.0,9080.01,10000,515e97be8ab22014ce56,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20170221000217_6240,STEP no-KI,False,2017-02-24,10000.0,9835.0,10000,aed21582814f55cd230e,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20170428001526_6416,STEP no-KI,False,2017-05-15,9900.0,9848.0,10000,919acc45f73b13cb422b,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2
20170614000169_14560,STEP no-KI,False,2017-06-22,9900.0,8891.8,10000,463d632227c0f83b6002,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2
20171023000060_725,STEP KI,False,2017-10-30,10000.0,9349.17,10000,0295b3774553d3fc4f5f,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20171031000202_240,STEP no-KI,True,2017-11-06,10000.0,9142.27,10000,33e833223b20dd22e350,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2
20171107000145_241,STEP no-KI,True,2017-11-13,10000.0,9045.175,10000,1c4aa36440348be752ab,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2
20171110000550_14818,STEP no-KI,False,2017-11-13,10000.0,7283.12,10000,58a9d4eb8e6b4668bbb7,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20171120000029_6849,LIZARD no-KI,False,2017-11-28,9900.0,10190.0,10000,2ad29644c56c07f6fd2f,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2
20171127000157_732,STEP KI,False,2017-12-04,10000.0,9279.85,10000,86760e76625d27bad4e8,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20171206000266_6902,LIZARD no-KI,False,2017-12-13,10000.0,10074.0,10000,0b85286e0422c1a6f617,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20171215000335_1348,STEP KI,False,2017-12-26,10000.0,9666.03,10000,601c067c70e80eba6285,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2
20171219000208_244,STEP no-KI,False,2017-12-26,10000.0,9234.865,10000,601c067c70e80eba6285,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20171221000464_4476,STEP no-KI,False,2017-12-28,10000.0,9241.65,10000,2324c7fc77ea935ab5ba,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20171228000788_15687,STEP no-KI,False,2018-01-12,9900.0,8889.4,10000,389a0430cb2daf6dedbb,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2
20180115000488_6971,STEP KI,False,2018-01-19,10000.0,10389.0,10000,8099b82b6b1a8cbc88df,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20180122000245_2373,STEP no-KI,False,2018-01-26,10000.0,9008.22,10000,9933c68543b1519354cc,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20180129000293_3919,STEP no-KI,True,2018-02-05,10000.0,10080.0,10000,e6a6a079f0f807b075d7,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20180205000224_2385,STEP no-KI,False,2018-02-09,10000.0,9041.76,10000,827d25d2f1025805469b,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
20180206000141_7002,STEP KI,False,2018-02-09,10000.0,10319.0,10000,827d25d2f1025805469b,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3
