price_seg,n,fair_mean,mc_mean,err_mean_KRW,err_median_KRW,MAPE_pct
"(0.718, 0.874]",1667,0.8491323056009031,0.9888837792107904,-1397.5147360988733,-1479.230311849129,16.824747784436866
"(0.874, 0.907]",1667,0.8909844773926032,0.995719227704137,-1047.3475031153378,-1152.5676255745757,12.112593115425678
"(0.907, 0.932]",1667,0.9202383647430267,0.9989524979762338,-787.1413323320706,-926.237381065812,9.434236578212984
"(0.932, 0.952]",1667,0.9421003628686012,0.9994613500856558,-573.6098721705448,-728.2406449565016,7.411566534280854
"(0.952, 0.972]",1667,0.9611322309635011,0.9920256340532434,-308.93403089742327,-518.2497476562853,5.7953110513485235
"(0.972, 1.048]",1667,0.9925462244731014,0.9961234488356956,-35.77224362594171,-219.8336790223321,4.2493868861251896
