item,structure,monthly,issue,issue_price_krw,fair_raw_krw,face_krw,group,payment_schedule_source,lag,paths_per_seed,replicates,total_paths,mc_face_krw,mc_se_face_krw,fair,mc_iv,fair_krw,mc_iv_krw,gap_krw,ape_pct
20170120000130_13789,STEP no-KI,True,2017-02-01,9900.0,9201.5,10000,345925c8c30b8e4c8097,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2,40000,3,120000,10108.552576233576,0.7748402491887332,0.9294444444444444,1.0210659167912703,9294.444444444443,10210.659167912703,-916.2147234682594,9.857659905815105
20170217000328_1816,STEP no-KI,False,2017-02-27,10000.0,9080.01,10000,515e97be8ab22014ce56,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3,40000,3,120000,10120.311359955782,1.3818442290714807,0.9080010000000001,1.0120311359955783,9080.01,10120.311359955782,-1040.301359955782,11.457050817738988
20170221000217_6240,STEP no-KI,False,2017-02-24,10000.0,9835.0,10000,aed21582814f55cd230e,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3,40000,3,120000,10013.166022261325,1.4654754492702924,0.9835,1.0013166022261324,9835.0,10013.166022261325,-178.1660222613235,1.8115508109946463
20170428001526_6416,STEP no-KI,False,2017-05-15,9900.0,9848.0,10000,919acc45f73b13cb422b,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2,40000,3,120000,10062.281842962004,1.197804497269154,0.9947474747474747,1.0163921053496974,9947.474747474747,10163.921053496973,-216.4463060222266,2.1758919878351373
20170614000169_14560,STEP no-KI,False,2017-06-22,9900.0,8891.8,10000,463d632227c0f83b6002,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2,40000,3,120000,10173.478653439963,0.758494799782509,0.898161616161616,1.027624106408077,8981.61616161616,10276.24106408077,-1294.6249024646106,14.414164212420037
20171023000060_725,STEP KI,False,2017-10-30,10000.0,9349.17,10000,0295b3774553d3fc4f5f,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3,40000,3,120000,7910.356741539647,10.468266578455971,0.934917,0.7910356741539647,9349.17,7910.356741539647,1438.813258460353,15.389743244163418
20171031000202_240,STEP no-KI,True,2017-11-06,10000.0,9142.27,10000,33e833223b20dd22e350,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2,40000,3,120000,9986.202065625746,2.877159116040957,0.914227,0.9986202065625747,9142.27,9986.202065625746,-843.9320656257465,9.231099777470437
20171107000145_241,STEP no-KI,True,2017-11-13,10000.0,9045.175,10000,1c4aa36440348be752ab,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2,40000,3,120000,9783.35999906593,4.185649343393104,0.9045175,0.9783359999065929,9045.175,9783.35999906593,-738.1849990659294,8.16109140028722
20171110000550_14818,STEP no-KI,False,2017-11-13,10000.0,7283.12,10000,58a9d4eb8e6b4668bbb7,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,3,40000,3,120000,9132.866448594867,4.354452844668379,0.728312,0.9132866448594866,7283.12,9132.866448594867,-1849.7464485948667,25.3977203258338
20171120000029_6849,LIZARD no-KI,False,2017-11-28,9900.0,10190.0,10000,2ad29644c56c07f6fd2f,same_bank_lag_inferred_from_last_evaluation_to_raw_maturity,2,40000,3,120000,10122.353280777399,1.6913128535791615,1.0292929292929294,1.0224599273512525,10292.929292929293,10224.599273512524,68.33001941676909,0.6638539668557545
